,,,,,,,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,,,-additional
Rk,Player,Age,Team,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Fmb,Awards,-9999
75,Keon Coleman,21,BUF,WR,3,2,0,0,0,0,,,,0.0,0.0,0,,ColeKe02
76,Nico Collins,25,HOU,WR,2,2,0,0,0,0,,,,0.0,0.0,0,,CollNi00
77,Amari Cooper,30,BUF,WR,3,1,0,0,0,0,,,,0.0,0.0,0,,CoopAm00
78,Jamison Crowder,31,WAS,WR,2,0,0,0,0,0,,,,0.0,0.0,0,,CrowJa00
79,Will Dissly,28,LAC,TE,1,1,0,0,0,0,,,,0.0,0.0,0,,DissWi00
80,Jahan Dotson,24,PHI,WR,2,1,0,0,0,0,,,,0.0,0.0,0,,DotsJa00
81,Romeo Doubs,24,GNB,WR,1,1,0,0,0,0,,,,0.0,0.0,0,,DoubRo00
82,Zach Ertz,34,WAS,TE,3,3,0,0,0,0,,,,0.0,0.0,0,,ErtzZa00
83,Mike Evans,31,TAM,WR,1,1,0,0,0,0,,,,0.0,0.0,0,,EvanMi00
84,Tucker Fisk,25,LAC,TE,1,0,0,0,0,0,,,,0.0,0.0,0,,FiskTu00
85,Troy Franklin,21,DEN,WR,1,0,0,0,0,0,,,,0.0,0.0,0,,FranTr00
86,Pat Freiermuth,26,PIT,TE,1,1,0,0,0,0,,,,0.0,0.0,0,,FreiPa00
87,Noah Gray,25,KAN,TE,2,0,0,0,0,0,,,,0.0,0.0,0,,GrayNo00
88,C.J. Ham,31,MIN,FB,1,0,0,0,0,0,,,,0.0,0.0,0,,HamxC.00
89,Malik Heath,24,GNB,WR,1,0,0,0,0,0,,,,0.0,0.0,0,,HeatMa00
90,Tyler Higbee,31,LAR,TE,2,2,0,0,0,0,,,,0.0,0.0,0,,HigbTy00
91,T.J. Hockenson,27,MIN,TE,1,0,0,0,0,0,,,,0.0,0.0,0,,HockTJ00
92,Mack Hollins,31,BUF,WR,3,2,0,0,0,0,,,,0.0,0.0,0,,HollMa00
93,DeAndre Hopkins,32,KAN,WR,3,2,0,0,0,0,,,,0.0,0.0,0,,HopkDe00
94,Xavier Hutchinson,24,HOU,WR,2,1,0,0,0,0,,,,0.0,0.0,0,,HutcXa00
95,Justin Jefferson,25,MIN,WR,1,1,0,0,0,0,,,,0.0,0.0,0,,JeffJu00
96,Van Jefferson,28,PIT,WR,1,1,0,0,0,0,,,,0.0,0.0,0,,JeffVa00
97,Diontae Johnson,28,HOU,WR,1,0,0,0,0,0,,,,0.0,0.0,0,,JohnDi01
98,Quentin Johnston,23,LAC,WR,1,1,0,0,0,0,,,,0.0,0.0,0,,JohnQu02
99,Travis Kelce,35,KAN,TE,3,3,0,0,0,0,,,,0.0,0.0,0,,KelcTr00
100,Dalton Kincaid,25,BUF,TE,3,0,0,0,0,0,,,,0.0,0.0,0,,KincDa00
101,Dawson Knox,28,BUF,TE,3,3,0,0,0,0,,,,0.0,0.0,0,,KnoxDa00
102,Lucas Krull,26,DEN,TE,1,0,0,0,0,0,,,,0.0,0.0,0,,KrulLu00
103,Cooper Kupp,31,LAR,WR,2,1,0,0,0,0,,,,0.0,0.0,0,,KuppCo00
104,Sam LaPorta,23,DET,TE,1,1,0,0,0,0,,,,0.0,0.0,0,,LaPoSa01
105,Isaiah Likely,24,BAL,TE,2,0,0,0,0,0,,,,0.0,0.0,0,,LikeIs00
106,Hunter Long,26,LAR,TE,1,0,0,0,0,0,,,,0.0,0.0,0,,LongHu00
107,Luke McCaffrey,23,WAS,WR,1,0,0,0,0,0,,,,0.0,0.0,0,,McCaLu00
108,Ladd McConkey,23,LAC,WR,1,1,0,0,0,0,,,,0.0,0.0,0,,McCoLa00
109,Terry McLaurin,29,WAS,WR,3,3,0,0,0,0,,,,0.0,0.0,0,,McLaTe00
110,Jalen McMillan,23,TAM,WR,1,1,0,0,0,0,,,,0.0,0.0,0,,McMiJa01
111,Bo Melton,25,GNB,WR,1,0,0,0,0,0,,,,0.0,0.0,0,,MeltBo00
112,John Metchie,24,HOU,WR,2,1,0,0,0,0,,,,0.0,0.0,1,,MetcJo00
113,Anthony Miller,30,BAL,WR,2,0,0,0,0,0,,,,0.0,0.0,0,,MillAn02
114,Johnny Mundt,30,MIN,TE,1,1,0,0,0,0,,,,0.0,0.0,0,,MundJo00
115,Jalen Nailor,25,MIN,WR,1,0,0,0,0,0,,,,0.0,0.0,0,,NailJa00
116,Josh Oliver,27,MIN,TE,1,1,0,0,0,0,,,,0.0,0.0,0,,OlivJo00
117,Cade Otton,25,TAM,TE,1,1,0,0,0,0,,,,0.0,0.0,0,,OttoCa00
118,Colby Parkinson,25,LAR,TE,2,1,0,0,0,0,,,,0.0,0.0,0,,ParkCo02
119,Tim Patrick,31,DET,WR,1,0,0,0,0,0,,,,0.0,0.0,0,,PatrTi00
120,George Pickens,23,PIT,WR,1,1,0,0,0,0,,,,0.0,0.0,0,,PickGe00
121,Kalif Raymond,30,DET,WR,1,0,0,0,0,0,,,,0.0,0.0,0,,RaymKa00
122,Jayden Reed,24,GNB,WR,1,1,0,0,0,0,,,,0.0,0.0,0,,ReedJa03
123,Demarcus Robinson,30,LAR,WR,2,2,0,0,0,0,,,,0.0,0.0,0,,RobiDe01
124,Curtis Samuel,28,BUF,WR,3,0,0,0,0,0,,,,0.0,0.0,0,,SamuCu00
125,Dalton Schultz,28,HOU,TE,2,1,0,0,0,0,,,,0.0,0.0,0,,SchuDa00
126,Khalil Shakir,24,BUF,WR,3,3,0,0,0,0,,,,0.0,0.0,0,,ShakKh00
127,Trent Sherfield,28,MIN,WR,1,0,0,0,0,0,,,,0.0,0.0,0,,SherTr00
128,Ben Sinnott,22,WAS,TE,1,0,0,0,0,0,,,,0.0,0.0,0,,SinnBe00
129,DeVonta Smith,26,PHI,WR,4,4,0,0,0,0,,,,0.0,0.0,0,,SmitDe07
130,Irv Smith Jr.,26,HOU,TE,1,0,0,0,0,0,,,,0.0,0.0,0,,SmitIr01
131,JuJu Smith-Schuster,28,KAN,WR,3,3,0,0,0,0,,,,0.0,0.0,0,,SmitJu00
132,Amon-Ra St. Brown,25,DET,WR,1,1,0,0,0,0,,,,0.0,0.0,0,,StxxAm00
133,Cade Stover,24,HOU,TE,1,0,0,0,0,0,,,,0.0,0.0,0,,StovCa00
134,Courtland Sutton,29,DEN,WR,1,1,0,0,0,0,,,,0.0,0.0,0,,SuttCo00
135,Adam Trautman,27,DEN,TE,1,1,0,0,0,0,,,,0.0,0.0,0,,TrauAd00
136,Devaughn Vele,27,DEN,WR,1,0,0,0,0,0,,,,0.0,0.0,0,,VeleDe00
137,Tylan Wallace,25,BAL,WR,2,2,0,0,0,0,,,,0.0,0.0,1,,WallTy00
138,Darnell Washington,23,PIT,TE,1,0,0,0,0,0,,,,0.0,0.0,0,,WashDa03
139,Jared Wayne,24,HOU,WR,1,1,0,0,0,0,,,,0.0,0.0,0,,WaynJa01
140,Jordan Whittington,24,LAR,WR,1,0,0,0,0,0,,,,0.0,0.0,0,,WhitJo04
141,Dontayvion Wicks,23,GNB,WR,1,1,0,0,0,0,,,,0.0,0.0,0,,WickDo00
142,Mike Williams,30,PIT,WR,1,0,0,0,0,0,,,,0.0,0.0,0,,WillMi07
143,Johnny Wilson,23,PHI,WR,1,0,0,0,0,0,,,,0.0,0.0,0,,WilsJo03
144,Robert Woods,32,HOU,WR,1,0,0,0,0,0,,,,0.0,0.0,0,,WoodRo02
145,Olamide Zaccheaus,27,WAS,WR,3,0,0,0,0,0,,,,0.0,0.0,0,,ZaccOl01
,League Average,,,,,,,,,,49.9,,4.7,14.3,3.0,,,-9999
