"Rank","Player","G","ATT","YDS","Y/ATT","YBCON","YBCON/ATT","YACON","YACON/ATT","BRKTKL","TK LOSS","TK LOSS YDS","LNG TD","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS","LNG","REC","TGT","RZ TGT","YACON"
"115","Patrick Ricard (BAL)","13","7","16","2.3","7","1.0","9","1.3","0","0","0","0","0","0","0","0","0","5","11","13","1","27"
"116","Phillip Lindsay (FA)","3","15","49","3.3","30","2.0","19","1.3","0","1","-2","0","1","0","0","0","0","15","6","8","0","0"
"117","Jordan Wilkins (FA)","4","13","58","4.5","41","3.2","17","1.3","0","0","0","0","0","0","0","0","0","9","6","8","2","7"
"118","Tyler Badie (DEN)","1","1","0","0.0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","1","1","0","9"
"119","Jaret Patterson (LAC)","2","17","78","4.6","40","2.4","38","2.2","0","0","0","0","2","0","0","0","0","14","0","1","0","0"
"120","Ty Montgomery II (FA)","1","2","-2","-1.0","0","0.0","0","0.0","0","1","-2","0","0","0","0","0","0","0","3","4","1","3"
"121","Ke'Shawn Vaughn (SF)","9","17","53","3.1","41","2.4","12","0.7","1","2","-6","0","1","0","0","0","0","12","3","4","0","0"
"122","Zamir White (LV)","11","17","70","4.1","39","2.3","31","1.8","0","3","-10","0","3","1","0","0","0","22","0","0","0","0"
"123","Trayveon Williams (CLE)","9","6","30","5.0","9","1.5","21","3.5","1","1","-1","0","1","0","0","0","0","16","2","3","0","3"
"124","Tony Jones Jr. (FA)","3","10","24","2.4","10","1.0","14","1.4","1","2","-4","0","0","0","0","0","0","7","5","8","1","0"
"125","Isaiah Spiller (FA)","5","18","41","2.3","17","0.9","24","1.3","0","4","-9","0","1","0","0","0","0","11","3","3","0","0"
"126","Myles Gaskin (BAL)","2","10","26","2.6","14","1.4","12","1.2","0","1","-2","0","1","0","0","0","0","10","4","6","3","10"
"127","Spencer Brown (FA)","2","9","43","4.8","32","3.6","11","1.2","0","0","0","0","0","0","0","0","0","7","2","4","0","1"
"128","Julius Chestnut (TEN)","6","9","12","1.3","5","0.6","7","0.8","1","3","-5","0","0","0","0","0","0","5","3","3","0","10"
"129","David Johnson (FA)","4","12","24","2.0","6","0.5","18","1.5","0","1","-4","0","0","0","0","0","0","5","4","4","0","6"
"130","Ronnie Rivers (LAR)","2","9","21","2.3","16","1.8","5","0.6","0","0","0","0","0","0","0","0","0","5","5","5","1","11"
"131","Patrick Taylor Jr. (SF)","7","10","31","3.1","13","1.3","18","1.8","0","0","0","0","0","0","0","0","0","6","1","1","0","0"
"132","Dwayne Washington (FA)","7","11","38","3.5","16","1.5","22","2.0","1","1","-1","0","0","0","0","0","0","8","1","1","0","3"
"133","Trestan Ebner (FA)","11","24","54","2.3","24","1.0","30","1.3","1","7","-17","0","1","0","0","0","0","11","2","8","0","0"
"134","Anthony McFarland Jr. (FA)","1","6","30","5.0","16","2.7","14","2.3","1","1","-1","0","1","0","0","0","0","14","2","2","0","3"
"135","Larry Rountree III (FA)","3","13","19","1.5","8","0.6","11","0.8","0","2","-5","0","0","0","0","0","0","5","2","2","0","3"
"136","Jonathan Ward (NYG)","4","5","25","5.0","16","3.2","9","1.8","0","2","-4","0","2","0","0","0","0","12","2","3","1","3"
"137","Giovani Bernard (FA)","4","8","28","3.5","26","3.3","2","0.3","0","0","0","0","0","0","0","0","0","8","2","2","0","0"
"138","D'Ernest Johnson (BAL)","10","4","17","4.3","5","1.3","12","3.0","0","0","0","0","0","0","0","0","0","7","3","3","0","2"
"139","Mike Davis (FA)","5","8","18","2.3","13","1.6","5","0.6","1","0","0","0","1","0","0","0","0","10","2","2","0","2"
"140","Ty Chandler (MIN)","2","6","20","3.3","8","1.3","12","2.0","0","0","0","0","1","0","0","0","0","10","0","0","0","0"
"141","Trey Sermon (PIT)","1","2","19","9.5","10","5.0","9","4.5","0","0","0","0","1","0","0","0","0","14","0","0","0","0"
"142","Adam Prentice (FA)","6","4","9","2.3","3","0.8","6","1.5","0","0","0","0","0","0","0","0","0","3","3","3","0","5"
"143","Michael Burton (DEN)","12","5","7","1.4","4","0.8","3","0.6","0","1","-1","0","0","0","0","0","0","6","2","3","0","2"
"144","J.J. Taylor (HOU)","1","10","9","0.9","4","0.4","5","0.5","1","3","-6","0","0","0","0","0","0","5","1","1","0","3"
"145","Jerome Ford (CLE)","13","8","12","1.5","-1","-0.1","13","1.6","0","2","-5","0","0","0","0","0","0","9","0","0","0","0"
"146","Keith Smith (FA)","10","1","2","2.0","0","0.0","2","2.0","0","0","0","0","0","0","0","0","0","2","1","2","1","5"
"147","Reggie Bonnafon (FA)","1","3","8","2.7","5","1.7","3","1.0","0","1","-1","0","0","0","0","0","0","5","0","0","0","0"
"148","Godwin Igwebuike (FA)","5","3","4","1.3","0","0.0","0","0.0","0","1","-3","0","0","0","0","0","0","4","1","1","0","0"
"149","Kylin Hill (FA)","1","1","7","7.0","2","2.0","5","5.0","0","0","0","0","0","0","0","0","0","7","0","0","0","0"
"150","Devine Ozigbo (FA)","3","3","4","1.3","1","0.3","3","1.0","0","1","-2","0","0","0","0","0","0","4","1","1","0","0"
"151","Demetric Felton Jr. (WAS)","6","1","-4","-4.0","0","0.0","0","0.0","0","1","-4","0","0","0","0","0","0","0","2","4","0","1"
"152","Duke Johnson Jr. (FA)","1","2","4","2.0","1","0.5","3","1.5","0","0","0","0","0","0","0","0","0","4","0","0","0","0"
"153","Damien Williams (FA)","1","2","2","1.0","0","0.0","2","1.0","0","0","0","0","0","0","0","0","0","2","0","0","0","0"
"154","Jordan Howard (FA)","1","1","1","1.0","0","0.0","1","1.0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
""
""
