"Rank","Player","G","REC","YDS","Y/R","YBC","YBC/R","AIR","AIR/R","YAC","YAC/R","YACON","YACON/R","BRKTKL","TGT","% TM","CATCHABLE","DROP","RZ TGT","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS","LNG"
"175","Laquon Treadwell (IND)","3","6","42","7.0","31","5.2","0","0.0","11","1.8","3","0.5","0","10","1.8%","7","1","2","2","0","0","0","0","17"
"176","Michael Woods II (FA)","8","5","45","9.0","28","5.6","0","0.0","17","3.4","0","0.0","0","10","2.0%","5","0","2","2","0","0","0","0","15"
"177","Kyle Philips (FA)","4","8","78","9.8","57","7.1","86","10.8","21","2.6","1","0.1","0","13","3.0%","9","1","0","2","2","0","0","0","21"
"178","Cole Beasley (FA)","5","6","35","5.8","21","3.5","12","2.0","14","2.3","3","0.5","0","8","1.1%","7","1","1","0","0","0","0","0","9"
"179","Tylan Wallace (BAL)","8","4","33","8.3","24","6.0","42","10.5","9","2.3","5","1.3","1","7","1.5%","5","1","0","1","0","0","0","0","12"
"180","Tim Jones (MIN)","7","3","30","10.0","9","3.0","-2","-0.7","21","7.0","15","5.0","1","4","0.7%","4","1","0","1","1","0","0","0","20"
"181","Tyrie Cleveland (FA)","5","2","28","14.0","11","5.5","31","15.5","17","8.5","9","4.5","1","7","1.3%","2","0","1","2","0","0","0","0","16"
"182","Simi Fehoko (ARI)","3","3","24","8.0","14","4.7","51","17.0","10","3.3","6","2.0","0","4","0.7%","3","0","0","1","0","0","0","0","12"
"183","Dezmon Patmon (FA)","1","2","24","12.0","17","8.5","73","36.5","7","3.5","5","2.5","0","6","1.0%","3","1","1","1","0","0","0","0","17"
"184","Andy Isabella (FA)","4","2","21","10.5","16","8.0","70","35.0","5","2.5","3","1.5","0","5","0.8%","2","0","0","2","0","0","0","0","11"
"185","Cade Johnson (FA)","2","2","21","10.5","15","7.5","0","0.0","6","3.0","2","1.0","0","4","0.7%","2","0","0","2","0","0","0","0","11"
"186","Penny Hart (FA)","3","3","20","6.7","8","2.7","7","2.3","12","4.0","5","1.7","0","4","0.7%","3","0","0","1","0","0","0","0","15"
"187","Lil'Jordan Humphrey (NYG)","4","2","20","10.0","5","2.5","27","13.5","15","7.5","4","2.0","0","4","0.8%","2","0","0","1","0","0","0","0","11"
"188","Danny Gray (FA)","7","1","10","10.0","6","6.0","51","51.0","4","4.0","2","2.0","0","7","1.4%","2","1","0","1","0","0","0","0","10"
"189","Keith Kirkwood (BAL)","3","2","18","9.0","14","7.0","0","0.0","4","2.0","0","0.0","0","4","0.8%","3","1","0","1","0","0","0","0","14"
"190","Juwann Winfree (FA)","3","1","17","17.0","12","12.0","51","51.0","5","5.0","0","0.0","0","4","0.7%","2","1","0","1","0","0","0","0","17"
"191","Dennis Houston (TB)","2","2","16","8.0","10","5.0","79","39.5","6","3.0","6","3.0","0","6","1.1%","2","0","0","1","0","0","0","0","11"
"192","Bryan Edwards (FA)","4","3","15","5.0","6","2.0","37","12.3","9","3.0","3","1.0","0","5","1.3%","5","0","3","1","0","0","0","0","10"
"193","Austin Trammell (JAC)","2","2","13","6.5","13","6.5","0","0.0","0","0.0","0","0.0","0","4","0.8%","2","0","0","0","0","0","0","0","8"
"194","Montrell Washington (NYG)","15","4","2","0.5","-11","-2.8","24","6.0","13","3.3","2","0.5","0","9","1.7%","5","1","0","0","0","0","0","0","4"
"195","Lance McCutcheon (PIT)","4","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","5","1.0%","0","0","1","0","0","0","0","0","0"
"196","Ihmir Smith-Marsette (NYG)","4","1","15","15.0","10","10.0","4","4.0","5","5.0","0","0.0","0","4","1.1%","2","1","1","1","0","0","0","0","15"
""
""
